co2_ppm,pm25_ugm3,pm10_ugm3,no2_ppb,exposure_hours,open_environment,absences,day_of_year,date
522;4983750124034,4;542224867840618,8;148685647796134,162;66612249443764,9;002342528977337,0;0,0,60,2024-02-29
503;89760326623616,1;2356620218906007,2;028933773749238,28;293220744930235,8;022190440639159,0;0,0,214,2024-08-01
651;1366910705361,17;951747263122297,33;146496647311054,8;30732051673453,7;10178506234137,0;0,0,100,2024-04-09
539;190166515724,247;33227155204503,408;0620665868517,9;840654344157658,8;404451749183929,0;0,0,1,2024-01-01
476;537344262646,13;856004541778882,21;009433075634934,143;36150480603945,9;15449674475106,0;0,0,43,2024-02-12
589;3526947261913,2;8501018912050533,3;948727098041054,4;66673074405633,6;678211326027634,0;0,0,311,2024-11-06
466;7493810017386,21;152403627875238,33;493278561064095,46;23755906577907,8;743472056024094,0;0,0,168,2024-06-16
552;5318157002853,50;59701501588141,70;17706563914413,11;14569586101289,10;15686148839742,0;0,0,192,2024-07-10
422;4197925672135,13;568651959103455,19;799475389356047,13;504405179808504,7;555043733400283,0;0,0,34,2024-02-03
460;30883706609416,11;177752722050167,24;46365802939218,6;026503553719635,8;136245700281304,0;0,0,34,2024-02-03
551;8116741521474,6;806155024406271,11;568375421405165,2;2643408947920185,8;967557668005556,0;0,0,176,2024-06-24
1857;984700471709,14;740290192466292,26;21832701532344,36;92938882879118,9;102668432179488,0;0,0,196,2024-07-14
458;56841405949854,18;126604585078503,37;81674982635784,49;79591391287233,9;75690714599688,1;0,0,158,2024-06-06
533;0611030567055,17;214877373822027,37;80407747119285,13;865024597634047,5;971250088036101,0;0,0,245,2024-09-01
521;9337782646427,7;692576145740169,14;034666734988534,13;951247122805269,6;942154995229379,0;0,1,340,2024-12-05
376;07390048162864,21;64024187436234,43;95623144025597,235;37503577721725,7;016242615900692,1;0,0,346,2024-12-11
496;8093474963175,8;16673867334628,13;01979799196856,121;52055512265984,6;192175669674646,0;0,0,335,2024-11-30
426;9680614520106,5;8101073435719055,9;151904237818997,60;893162107249296,4;40317215728437,1;0,0,71,2024-03-11
603;4273335731349,8;28638876921231,13;775569031848404,16;420997951943466,4;0,0;0,0,327,2024-11-22
560;6170973741076,4;470794551296254,8;518010541786786,8;1475813986889,10;39090542350596,0;0,0,114,2024-04-23
434;217590678236,19;39342235053047,37;118477454060994,101;71102049656236,4;8922139911049145,0;0,0,285,2024-10-11
559;4450381636877,193;92315856504004,307;1191103188832,12;168714644844764,11;133018253411816,0;0,0,143,2024-05-22
516;8950631750209,10;9990314018317,15;617402947134169,10;233884210749654,9;478818977232924,0;0,0,97,2024-04-06
499;3846799816425,5;589721400014921,10;448064819268517,15;847785327265282,7;188623240387494,0;0,0,309,2024-11-04
576;700577330452,10;352923891065243,14;654494154430864,1;749971004817867,9;232844209629468,0;0,0,320,2024-11-15
601;859971349757,5;909300434663823,10;758727992359384,13;619390019112704,8;850266493427442,0;0,0,212,2024-07-30
595;8768071469719,3;536993822414355,6;805458774073184,5;366439136961296,5;796451274120452,0;0,0,317,2024-11-12
489;6469486066417,11;964763733871555,23;09857877526746,7;517181622285861,7;970044452740739,0;0,0,185,2024-07-03
521;4472574489271,7;232133776112881,14;306063899721044,81;29011681730256,6;040322454917016,0;0,0,205,2024-07-23
559;8758058842138,14;584900062004715,30;417880769149143,46;94031564297745,9;308256004342184,0;0,0,364,2024-12-29
598;5327076273416,6;316308889806012,11;053307439684898,17;501215243505325,6;569558096401225,0;0,0,216,2024-08-03
426;0412881077355,4;808784937031129,9;41187059074056,21;76512979437012,7;806740927606655,1;0,0,246,2024-09-02
528;860461400171,18;202338484726678,33;806392568823426,3;5417760597380763,7;720402161978501,0;0,0,239,2024-08-26
473;6199015596383,14;282792412237116,20;966795700274712,11;916856268505532,8;243158001078765,0;0,0,293,2024-10-19
468;2276025551597,8;027913128367079,10;621897880456393,7;353065260331379,11;325110162228045,0;0,0,8,2024-01-08
588;7515493436518,8;95462810655228,13;934182599211969,84;73969013219634,7;518078834288164,0;0,0,78,2024-03-18
517;8120014285412,25;26483829113171,42;91814723179784,23;152965878478867,10;43585428394903,1;0,0,324,2024-11-19
535;67939270518,6;192867465035512,11;49021749770518,4;548604417804242,8;959993988670075,0;0,0,277,2024-10-03
600;2119738735214,6;903343796644196,14;255152260103698,11;01467267090996,10;836805092073163,0;0,0,202,2024-07-20
561;698161502858,10;113466029371004,14;93375778856794,23;93698873275469,7;323128430370362,0;0,0,214,2024-08-01
417;7440122697438,8;834250379757236,12;482749944864564,46;59373809152604,9;392272483939136,1;0,0,94,2024-04-03
561;6837363305049,15;538012701138593,33;67292380651377,10;186248766009747,7;881463954799318,0;0,0,75,2024-03-15
526;9018283232984,10;824038565074805,15;123780764290318,40;540076702919485,4;0,1;0,0,157,2024-06-05
448;2086980445024,7;036950350761027,12;178441569253462,28;703865988941843,5;8203128299590485,1;0,0,153,2024-06-01
633;8786193488404,13;05762477342743,23;85637651181642,9;238748510151616,9;164753891905503,0;0,2,142,2024-05-21
319;0127447955128,5;476731850434292,9;788217686159348,220;2738299289587,9;032529832559996,1;0,0,78,2024-03-18
589;3141502625134,34;94376478314522,48;13255293132,19;3153211173206,5;410045222730153,0;0,0,322,2024-11-17
454;35235341190855,36;88287881091108,49;840727536524575,12;563639599591273,8;440735097676008,1;0,0,182,2024-06-30
522;059558972048,12;21630933734203,17;04095850038902,14;002620263737953,9;00652045305101,0;0,0,195,2024-07-13
545;5056465921301,11;517375076197409,21;04257729470297,2;19290548155993,7;930668860524786,0;0,0,158,2024-06-06
420;7458651239464,11;145480155855337,19;949410831374603,13;229603227722407,9;457637275319271,0;0,0,146,2024-05-25
1882;13561428206,12;110900156589569,18;29190045895769,30;846835855914016,9;185110615857536,1;0,3,54,2024-02-23
561;4267542907048,14;700978330407386,27;549585284599196,24;001039121437223,7;929712841190585,0;0,0,356,2024-12-21
628;6736426844909,4;468855022581728,9;107798027231944,9;646794149471743,6;978350362271763,0;0,0,277,2024-10-03
508;90378690358114,12;133836428100183,16;22804842439644,12;74130827611009,10;085083184185018,0;0,0,309,2024-11-04
491;49038382640873,15;655431479738294,27;37065620295984,23;446674340603487,8;926324195757642,0;0,0,83,2024-03-23
509;8945773849277,6;544760365829463,12;56842279397324,43;32702107443817,5;237134694939404,0;0,0,156,2024-06-04
594;9241270621244,7;871322069127826,12;020144285729192,70;18819951769838,8;441795312162775,0;0,0,4,2024-01-04
559;725066579581,3;649503528696616,5;755244491713351,55;99619023821313,5;697950581084532,0;0,0,311,2024-11-06
508;2143877739777,23;662552129060995,43;82953274884786,12;1114668868444,6;070864135141649,0;0,0,271,2024-09-27
570;7960459868013,5;943868787388287,12;530518031019886,14;012360484449626,6;696179929228726,0;0,1,64,2024-03-04
2070;186873061338,7;420212761684255,15;055106957767698,42;08842520575778,8;089746471319405,0;0,0,112,2024-04-21
598;1186994319734,10;521638704393997,19;200067250394135,29;55449471873104,8;748971155182572,0;0,0,239,2024-08-26
414;8973453061324,14;84325198255205,29;05120604114024,14;950435106516837,7;1821162215174565,1;0,0,144,2024-05-23
520;340271204134,20;13358587510013,32;784327717415565,106;55419690914952,7;269634767412531,0;0,0,20,2024-01-20
430;3945923433921,240;89954509065385,452;13688234185327,3;253960637786133,6;9935126893966375,1;0,0,64,2024-03-04
376;8242525933941,5;490022989691715,9;440442773994446,32;533891781913,10;095027274175257,1;0,0,289,2024-10-15
557;7672166238746,3;3999452881792127,5;00112409961644,30;9437975637749,4;0,0;0,0,81,2024-03-21
555;6633163307934,5;685086787126427,10;981111513220808,80;15733804391806,7;382645180650434,0;0,0,197,2024-07-15
450;255672832123,6;257023968807995,11;26776247576746,169;25816324585278,11;089969590764731,1;0,0,69,2024-03-09
525;9247719974911,6;894978288372626,11;188890994065083,19;1452961569729,9;034460100554774,0;0,0,186,2024-07-04
455;0777554769752,21;298363176593785,45;156901872193686,25;78183260141609,10;53369448113425,0;0,0,167,2024-06-15
514;7612806340784,110;29376122823196,145;4599019304964,91;7504284978848,4;0,0;0,0,205,2024-07-23
519;4371290083938,6;546754647052697,10;371341451989908,123;1392403990366,5;515501537061755,0;0,0,164,2024-06-12
409;8861365389191,12;043448951448028,16;273027026262323,20;673497849818464,9;028096281372935,1;0,0,94,2024-04-03
530;3228573000395,6;419803836757255,12;774604492877394,9;162014122369202,11;101261186515336,0;0,0,249,2024-09-05
564;2430514088722,8;134800291353955,15;71559390881814,18;570384115080536,5;717527566310544,0;0,0,68,2024-03-08
653;1711540726318,17;43371104831547,27;86285331581057,9;171904795186563,7;224476434586955,0;0,0,343,2024-12-08
550;4746687699103,22;178492900122748,42;31870716168789,5;459365506215695,8;80292828373399,0;0,0,21,2024-01-21
555;4530234433659,17;21144029038987,28;50805731217959,1;6840343094793495,5;0950032058246055,0;0,0,319,2024-11-14
535;53324505403,35;98569903748109,71;27429794939897,7;568848581501018,9;043382519161966,0;0,0,85,2024-03-25
354;06143923504794,25;40697770115856,43;41456178374994,67;15221985952135,4;0,1;0,0,24,2024-01-24
538;409167473047,40;75018122864866,68;09566186067775,5;6536222369339,8;98447892892971,0;0,0,111,2024-04-20
453;01151049705135,9;903962909958102,21;206929155387492,7;325721885717311,6;009830064224315,1;0,0,351,2024-12-16
687;7945267491172,36;8635953344828,56;24614898945269,4;012799348037657,7;104805618967173,0;0,1,83,2024-03-23
528;4583421131326,9;147988826349016,12;88405130266056,7;09428010647371,9;303767895873936,0;0,0,358,2024-12-23
558;0928405400167,7;0000115883124,12;782642774822094,104;4665822473864,8;894504310984502,0;0,0,78,2024-03-18
537;9172938176854,202;5302527337844,439;97462101397593,109;27693102813116,7;984037591296591,0;0,0,140,2024-05-19
469;8793177428281,7;317659659832074,12;00136645275639,94;24793613187784,9;9380811032707,0;0,0,271,2024-09-27
608;5693688709013,12;678220124054343,17;18955033183331,6;350898683713296,4;599647974762353,0;0,0,339,2024-12-04
487;5966516343387,8;117160478564843,13;031084397510986,30;42930772405966,8;408828743002827,1;0,0,169,2024-06-17
489;5515973521523,21;77959497515728,38;23056133227661,14;951099392513182,6;419659738283034,1;0,0,197,2024-07-15
485;4367527123157,5;791205836545994,8;372524102481389,6;097012793863651,9;836062937359973,0;0,0,262,2024-09-18
624;1676586561659,13;494097057739538,25;53477185899257,20;35138499594885,9;37413413927224,0;0,0,215,2024-08-02
455;8889362324632,24;84686505181494,54;61277454919996,11;201410065529227,9;44669643772801,0;0,0,67,2024-03-07
575;2114256280162,6;641603313357005,11;334331267771372,28;175490359973004,11;29076366541427,0;0,0,229,2024-08-16
671;4273375485986,14;870709140065385,24;07948055381416,97;59345223261388,10;252695064869956,0;0,0,161,2024-06-09
480;5678204921587,12;613107591725692,20;94575216110573,4;488456902344966,7;685157332453178,0;0,0,122,2024-05-01
421;6851135198614,58;96952691751471,82;77148909246141,18;304658873981317,7;997464293025006,1;0,0,149,2024-05-28
454;9825682543821,11;978230068296698,25;093748058808387,19;6028281406104,9;201876761423453,1;0,0,340,2024-12-05
509;791460753028,14;877874669091538,24;89578877095237,36;24459869628852,8;27234934949566,0;0,0,193,2024-07-11
446;960194136032,168;3307626129094,277;5011687108305,6;754075126451909,9;410346643819436,0;0,0,231,2024-08-18
544;1137784883616,6;026848085621334,11;413170263970375,15;564264291426111,4;0,0;0,0,111,2024-04-20
396;88481431369473,15;601623608657256,26;48890584148753,23;72057343449028,11;761607037586632,1;0,0,145,2024-05-24
568;4155458381109,22;61327299218911,42;590067243388816,4;405836095730935,8;122057167112642,0;0,0,221,2024-08-08
484;8345459459718,3;615288651059688,4;899806714201196,5;694939770431892,4;75506933821488,0;0,0,64,2024-03-04
527;4967202508769,21;120907961573085,42;92509861409161,27;021281272455077,6;172413296832957,1;0,0,126,2024-05-05
493;0048024598257,8;158567780889138,17;511986838140576,13;551149352120389,4;0,0;0,0,218,2024-08-05
520;6763090276595,2;9395476197756425,5;537780977718219,9;041338717760926,5;8195298396284985,0;0,0,284,2024-10-10
588;8110330421802,13;557068676538307,29;271193547940037,15;308071241830412,7;715503142720428,0;0,0,354,2024-12-19
466;1481410139627,28;21173198163305,40;5202026558504,92;49477318236993,11;029429224988808,0;0,5,236,2024-08-23
553;6475960762477,5;4493777658005005,9;425650146729346,7;787273722143529,8;821349170839602,0;0,0,13,2024-01-13
618;4285652569457,7;8960975412403585,14;541659008600153,23;945392320772918,8;465721223929151,0;0,0,153,2024-06-01
443;5510059263264,4;2745454395846245,7;794902831406146,7;61974025743526,5;729790957568577,0;0,0,239,2024-08-26
551;0780315119382,6;143023230059291,10;20550033050951,23;868824738464227,6;351029388692977,0;0,0,190,2024-07-08
462;9941397124212,33;19897827060954,53;26032301595653,205;1317390662814,6;50614461325561,1;0,4,151,2024-05-30
586;9093723066386,7;051623847055515,9;971994772788603,26;20624100839841,6;587742775627789,0;0,0,86,2024-03-26
465;7829573473151,31;845411603102587,52;6267147065408,49;493381720305,7;296926247502791,0;0,0,21,2024-01-21
460;7726032149434,18;535038052592064,26;80898142625092,17;048670547299523,7;447977876567038,0;0,0,182,2024-06-30
476;09707828084487,9;450649417385389,18;532053540021117,68;89223275118873,7;321843252746303,1;0,0,319,2024-11-14
464;8492336616593,8;569251400055645,12;75059912779809,45;64650399402732,6;657351539463035,1;0,0,158,2024-06-06
555;0295710207525,4;554546165048532,6;160974562492806,1;905960636958255,8;270106331624453,0;0,0,76,2024-03-16
560;7868925698185,4;444681532315332,7;987668406659277,79;84586635334975,7;37117043326645,0;0,0,329,2024-11-24
415;99876392107547,251;45416018090864,461;59610153527865,100;15860315513434,4;808865507555545,1;0,0,203,2024-07-21
553;9352218296601,176;03079369966346,366;9752252024422,1;4923212973084572,8;06876364451587,0;0,0,229,2024-08-16
557;5843483979208,5;511303977010401,10;026624119775022,11;714747305217236,7;766472004436847,0;0,0,152,2024-05-31
414;2824290986816,4;120052699884397,6;6371279015772,202;0160223024396,4;840745094889648,1;0,0,263,2024-09-19
651;9464706686854,9;185720819961196,18;580055728880843,5;972803556187118,6;817397106606924,0;0,0,72,2024-03-12
473;6916460455894,8;769795383141036,15;665055806858582,15;047131889103529,9;194145122022718,1;0,0,225,2024-08-12
390;4348251398676,10;625870204880478,14;571811079211944,31;67542448784341,5;727100122678591,1;0,0,131,2024-05-10
579;3932165180297,14;776832353664128,26;735213040041558,12;508489571140004,5;515641860543013,0;0,0,360,2024-12-25
401;26591648863393,2;9600620579791994,6;267092795192672,43;29273999084927,7;350232756016522,1;0,0,28,2024-01-28
1290;587559806355,4;164964605084117,6;900019238582594,220;35283401815303,9;245864539623929,1;0,0,299,2024-10-25
609;5157347404441,42;55661086047588,66;67315377405008,24;62546216356849,11;620655181445391,0;0,0,97,2024-04-06
490;75906089889736,8;374320482426855,11;96792991841271,18;84347166005846,9;317870709707368,0;0,0,46,2024-02-15
597;8025677546593,2;049496433959089,2;943693715577845,13;465975623418874,10;169655480312215,0;0,0,1,2024-01-01
564;7668556161899,3;0906052032842486,5;221559985475409,16;74200091179443,8;693395257003328,0;0,0,166,2024-06-14
491;10300799972447,152;05236221410215,279;1851428266703,3;787284000432289,6;62976804071454,1;0,0,245,2024-09-01
653;8075789592368,5;213371846575853,7;155633675888966,8;254040042858964,9;303422153193823,0;0,0,219,2024-08-06
525;2767130398278,19;194729333914264,41;18443641537575,17;24462671588471,7;828783902143758,0;0,0,102,2024-04-11
1429;4288417577468,9;282284164224723,18;375397750668885,13;27838208840039,8;754067675656026,0;0,0,291,2024-10-17
405;5242785187238,8;675674489406624,15;858799182685008,51;46660119338318,6;1079403472980776,1;0,2,204,2024-07-22
491;05138290207367,149;77182746417037,306;3724720230905,23;23136157434864,8;932891601679612,0;0,0,202,2024-07-20
535;3738974351537,2;2495891958694827,3;0868144902290378,22;867045728384717,7;758983606468207,0;0,0,54,2024-02-23
560;4691184889986,112;28637901993925,194;1605525868467,8;964731281994919,8;462515494368168,0;0,0,280,2024-10-06
556;6014479598011,6;0416632560920975,11;280291676148387,7;428263859429032,7;829853650349736,0;0,0,278,2024-10-04
1684;773451591858,4;663490555064861,9;540511222583046,37;5453702153935,7;445593769316634,0;0,0,16,2024-01-16
540;7801135126743,7;950643276928587,15;94201455126268,133;1606274653423,8;969381559236817,0;0,0,13,2024-01-13
627;212044629439,21;701826438133992,33;62399226133598,7;893960484746012,7;187817742216873,0;0,0,356,2024-12-21
524;1205900057226,13;0958187205142,28;114000861115063,33;73016280456157,4;82262373924482,0;0,0,356,2024-12-21
586;008458329481,30;92088745190661,43;65754907867551,31;74277288977183,4;25205984863511,1;0,0,318,2024-11-13
577;5400408659003,9;777538400815132,20;41178722678103,10;973387188301295,8;368833138853955,0;0,0,87,2024-03-27
1484;1411711736623,17;082381967757513,37;134471548539096,21;443349860542835,7;105564370542288,0;0,0,78,2024-03-18
475;7464501163333,8;153732892171536,11;899869018160954,18;13330155189059,4;541801645135899,0;0,0,67,2024-03-07
568;9483449145911,7;897959652902906,15;399911326404482,42;43791535391372,8;21306993410756,0;0,0,347,2024-12-12
526;5922328804489,24;040086190131436,32;12373265644438,30;150205004433072,7;812250890053281,0;0,0,211,2024-07-29
582;8400296455255,5;190239562062211,8;641128858441121,82;63290822703918,7;000772813554535,0;0,0,214,2024-08-01
1701;5879206445811,10;848387291906295,19;14366054331374,11;819036067368716,8;493618636361704,0;0,1,185,2024-07-03
535;6302652405876,20;450870461544103,37;27336186928008,12;915797729929732,10;630188020215607,0;0,0,33,2024-02-02
489;1923769158957,15;369268276930578,32;92625235284362,40;29628635664733,10;56918143737028,0;0,0,115,2024-04-24
374;2576387657068,5;38808552061962,10;2644409517983,43;25717256679589,8;28752928621717,1;0,0,275,2024-10-01
513;2091028759787,17;80875766830247,30;86525113271765,11;964321727648649,7;830579134274293,0;0,0,198,2024-07-16
591;3839276594083,4;297598523514206,8;718570496912806,6;572289960897286,8;315470415223363,0;0,0,143,2024-05-22
552;8456246478122,15;041568697923186,32;42179356071496,12;92678281838086,8;618013865548697,0;0,0,228,2024-08-15
1369;151553026123,12;40310055106278,16;37035051117465,1;0237191324032622,7;46340364588389,0;0,0,120,2024-04-29
550;3908555510709,21;175370891637566,46;25270927317956,13;339264336628409,8;349086119906204,0;0,0,353,2024-12-18
563;1190427837302,5;136104064249221,7;075080550080689,122;65769836986192,4;852740857916405,0;0,0,24,2024-01-24
486;968553827932,18;01758296681639,36;62881108315927,33;18039341445093,8;162697766693528,0;0,0,27,2024-01-27
549;2235063567316,18;23313657461422,28;30332119389101,9;634402077482155,8;95362719004921,0;0,0,75,2024-03-15
1672;13741587631,9;763999528826204,13;854741291900355,13;583360150554816,7;020316115987188,0;0,0,241,2024-08-28
392;85148510846886,9;616117153452835,16;30768532537435,31;690612157216908,7;809054711427803,1;0,0,23,2024-01-23
561;467241620897,16;23465875258923,30;514030165300955,24;39992576132181,5;776989238597752,0;0,0,161,2024-06-09
573;647071582094,12;92988155617294,21;241942034308,34;76622090257688,5;499372834081373,0;0,0,41,2024-02-10
504;1525621587638,3;77307008162979,5;090282304653757,36;714611239538,8;421630155918383,1;0,0,238,2024-08-25
603;2281231220942,4;553938361107502,8;377038041336299,15;757916912560914,6;540873968524767,0;0,0,239,2024-08-26
457;3398379225745,8;259723569606916,17;445882088572645,3;637947274269712,4;446348676847951,0;0,0,56,2024-02-25
483;73049760509264,24;46877604009683,40;24853872016423,10;553291752394664,5;776443401731116,0;0,0,98,2024-04-07
570;9021160325195,21;638047348544887,32;342378549984616,27;742496982845648,6;067241812415862,0;0,0,146,2024-05-25
570;8271570547325,21;58941239888684,36;66572247432641,14;54304836912253,9;549160995463485,0;0,0,262,2024-09-18
475;7523843153024,20;067958346459186,26;961832634160835,232;07254375156708,8;358228022736935,1;0,0,40,2024-02-09
771;1638894392833,16;164886831321443,32;951132935383015,8;317699702922715,6;2567956036854,0;0,0,193,2024-07-11
574;2534306415901,3;837340198575115,7;842397988571729,8;363566970992498,6;824468190057681,0;0,0,239,2024-08-26
506;77828200903,17;136906377696214,31;34683629365706,37;66016911416416,10;624168832214451,1;0,0,42,2024-02-11
497;7000881746601,16;712265169744068,27;03697892159424,15;180601365993798,9;872204870393904,1;0,0,222,2024-08-09
579;0834750783479,4;018447829255223,8;116481130290227,26;37712152334944,5;763879144036344,0;0,1,196,2024-07-14
521;0838453215792,9;877540255904078,17;771851407772587,2;181438732316815,10;327051719252651,0;0,0,288,2024-10-14
585;5381532295961,252;06366852479928,515;0515439638854,29;705914915480854,7;83874238310038,0;0,0,10,2024-01-10
493;63048712774565,12;609669058384188,23;558807534530327,31;52057513116404,9;599223252112488,0;0,0,235,2024-08-22
525;7908835955994,16;209649300096284,32;51598795699513,4;802631654083051,7;673384089996986,0;0,0,325,2024-11-20
510;87818713025376,1;532101327288088,2;8170849662115294,19;645749545393237,10;37165839748435,0;0,0,265,2024-09-21
454;09370696931614,36;255032324373865,60;64477005519476,33;17630616409718,5;680758776920403,1;0,0,69,2024-03-09
678;8795140004105,7;486035956486056,16;18594218002849,6;214902394263076,7;489099137236968,0;0,0,139,2024-05-18
1605;9157263988182,6;9707085229946815,12;456673155786982,6;106007687767878,10;432919555798234,0;0,0,355,2024-12-20
581;1756114224708,7;546459854062292,13;920053194083028,17;57393459708986,4;0,0;0,0,219,2024-08-06
443;2370477286209,3;0156323572878674,4;518740758295252,40;69639231333207,7;907877191751069,0;0,0,196,2024-07-14
1949;3105357660736,17;758859164856712,33;08627674455211,28;815102318119106,7;2129073602536256,0;0,0,74,2024-03-14
605;337035818042,6;743290766904755,12;2353429235216,19;74721147208084,9;36932246108749,0;0,0,103,2024-04-12
453;2140009547732,7;264201871418982,10;651895525493856,34;76351944139936,10;139826870821944,1;0,0,225,2024-08-12
475;3353133242416,7;581313806867422,10;262281584414737,14;532702138715242,9;460567638613927,0;0,0,123,2024-05-02
497;0817774444018,18;651676116772585,34;39226181233,11;732489764830897,8;482000506794492,0;0,0,102,2024-04-11
580;7758649360806,9;349715701747677,18;58090545411519,18;247210132285005,8;08112909619072,0;0,1,264,2024-09-20
496;1780020969717,3;1789133272062697,5;630050159519955,6;1352232085624205,7;314578757040204,0;0,0,161,2024-06-09
552;9875153749184,11;808405836384756,17;760968460421303,22;86988710933301,8;419945243049263,0;0,0,233,2024-08-20
452;2785919951907,6;358001077589228,12;079374102312094,24;77366184580897,10;919309659171018,1;0,0,275,2024-10-01
417;4199826197091,2;6931978463798174,3;695323713642667,25;07522313995838,6;338975403444917,1;0,0,258,2024-09-14
668;6366453595195,24;301306272296756,41;255120717620045,35;70374231110135,7;1958370497518525,0;0,0,311,2024-11-06
578;0351413390807,11;744510834810043,16;994660482905296,3;943103455342556,7;848980054866385,0;0,0,139,2024-05-18
348;74287066711963,11;532977442555948,16;90749654277675,40;49541095577571,10;001865358391337,1;0,0,227,2024-08-14
551;1872588861656,6;695250509027384,9;92279346120276,32;761359572653475,8;44660467910441,0;0,0,273,2024-09-29
500;2928121138967,22;675401590807773,37;36988610287455,99;04708040421518,9;966963791090382,0;0,0,317,2024-11-12
591;1460000877734,74;01987670070599,99;63335843283164,14;852564260664607,10;068219981007202,0;0,0,86,2024-03-26
410;37396307836497,16;678931948176373,27;6539042902479,24;14347776129355,9;18407365163996,1;0,0,291,2024-10-17
533;1158135119861,4;147811220787322,7;302373888836031,22;936044589734884,5;8720127668688935,0;0,0,217,2024-08-04
475;2493639490229,240;08910632755465,416;5461618995225,50;28247678415722,11;32218782379343,1;0,0,359,2024-12-24
493;2877597085061,16;467699734417486,27;081225920434484,19;722915450966003,10;824761342185402,1;0,0,66,2024-03-06
1373;9580868557805,1;646505628294377,3;383950968620057,12;029602624260251,8;127080101004674,0;0,0,257,2024-09-13
433;2749382079526,15;396642116243624,22;029423516939037,164;9268012669247,5;236459515032891,1;0,0,135,2024-05-14
426;2527344419522,23;14942233910228,40;63017778840641,15;389145388617075,4;879003684251286,1;0,0,55,2024-02-24
500;8002460455773,30;211928543336825,40;96245887657478,10;652203760129275,8;50863125310742,0;0,0,356,2024-12-21
645;9272544168658,20;061676788960018,27;364931833860915,30;80834039446298,6;596499115738428,0;0,0,243,2024-08-30
564;2989026576573,9;2178845357383,16;744096123653936,9;374725802356409,4;565621733279243,0;0,0,252,2024-09-08
464;34696273989726,34;46840568768707,62;36770482015833,6;125113263344407,4;841268601273997,0;0,0,21,2024-01-21
595;0717168232865,35;45626195924115,74;11174816337872,18;51210351556117,7;060034853339984,0;0,0,307,2024-11-02
667;329371820758,8;696242838438236,15;67138015101062,30;59788977753914,8;389859147621957,0;0,0,163,2024-06-11
